FeatureIndex	FileName	MSLevel	IsDecoy	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
197	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	6025.305702	6029.029752	2	67.8035	68.2534	26.9921	67.8035	78282	42240.1	1.0565e+06	6	10	4	0.86845	0.461120254981584	15346;20695.9;0;25532.7;16707.4	0;4205.66;2442.33;14046.1;18989.8;13757.1;15801.2;5070.78;0;0;3969.1
198	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3735.525943	3737.799722	2	69.0898	70.1835	65.6204	70.1835	51153.2	42039.6	1.67835e+06	5	7	3	0.913227	0.462343462861213	32692.8;14409.6;4050.8	0;8223.13;19736.5;11560.2;7141.54;1854.43;0;0;2637.5
199	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4130.793877	4133.391152	2	69.6043	70.4412	50.2142	70.4412	70550.8	41965.3	1.77133e+06	5	6	2	0.884341	0.559382918280553	27656.5;42894.3	4154.55;12686.2;9580.13;17635.6;22516.4;8132.5
200	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5565.886232	5569.329342	2	67.0974	67.3541	15.4059	67.0974	81872.2	41249.3	630658	5	7	3	0.906016	0.412450261135646	6786.5;57397.7;17688	0;0;10696.9;19091.5;17948.4;11249.8;7318.12;8780.98;6786.5
201	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4193.407363	4196.053263	3	66.7114	67.3541	38.5618	67.3541	110563	41241.2	1.49581e+06	3	6	4	0.882314	0.570611099120521	7549.24;55502.4;25627.5;21883.9	0;11124.7;24902.8;25656.4;34028.3;8381.02;0;0;3229.07;3240.76
202	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	6544.894623	6548.910699	2	67.6753	68.1249	26.9787	68.1249	73319.4	40943.5	989031	7	7	1	0.867289	0.459351285218692	73319.4	0;5817.95;0;14444.7;17767.6;17868.3;4848.89;12572
203	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4770.043586	4773.031804	2	69.7976	69.9905	11.5727	69.9905	75267.4	40658.4	435523	6	6	1	0.851853	0.691820879966628	75267.4	0;3304.38;10032.7;24462;21681.9;15786.4
204	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3936.232773	3938.616226	2	70.4412	71.4699	61.7187	70.4412	78864.2	39713.8	2.4337e+06	3	4	2	0.879943	0.581952612474906	9821.72;69042.5	0;9821.72;15749.4;21217.8;16093.9;7758.44;0;8222.98
205	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	2810.659726	2812.388668	2	70.6342	71.0841	26.99	70.6342	58526	39665.5	789808	3	4	2	0.884403	0.62762902727664	26642;31884	0;17915.7;23327.5;13498.4;3784.33
206	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5710.290457	5713.824627	2	70.119	70.5698	27.0473	70.5698	61959.6	39467.4	837920	6	8	3	0.890254	0.388812421683968	22492.2;15099.8;24367.6	0;2817.13;7240.81;12183;22386.8;11196.6;6135.24
207	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5102.691167	5105.868790	2	66.4541	66.7759	19.3047	66.7759	58211.6	39413.4	561879	5	7	2	0.891301	0.728247662265676	39413.4;0;18798.2	0;0;15858.6;12647.2;16796.9;10817.5;0;2091.39
208	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4640.636501	4643.535266	4	65.5097	67.5466	122.214	65.5097	112248	41487.6	3.31401e+06	4	8	5	0.855142	0.620946705322366	41487.6;18485.2;26265.2;15747.5;10262.4	0;0;30121.5;24294.3;36538.6;12496.1;5022.73;0;0;3774.72
209	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3758.403600	3760.688977	2	69.2826	69.669	23.1808	69.2826	51949.5	38862.2	602114	3	6	4	0.858054	0.326326676343268	7277.55;14156.9;6631.51;23883.5	0;5523.92;16855;18458.8;2569.03;5350.26;3192.42
210	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	2832.042301	2833.787116	2	65.5738	66.1973	37.4094	66.1973	69891.4	38825	1.3073e+06	3	4	2	0.878598	0.571050894588556	38825;31066.4	0;21642.5;25225.2;16691.6;0;6332.03
