Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	PrecursorScanNum	PrecursorFeatureIndex	PrecursorMz	PrecursorIntensity	PrecursorCharge	PrecursorSNR	PrecursorMonoisotopicMass	PrecursorQscore	PrecursorQscore2D	PrecursorQvalue	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue	
17	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1547.744333	1546.742822	131.636	1	1	14	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.939099	0.939099	1	24.4977	24.4977	0.449121	1	1547.739052	1548.764549	0.879553	0.879553	0.00970874
18	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	2	0.073501	207	1597.396031	1596.368728	375.73	1	1	14	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.92005	0.92005	1	0.810273	0.810273	0.483606	1	1597.365270	1598.388759	0.747195	0.747195	0
19	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	2	0.073501	207	1646.954726	1645.901316	179.338	1	1	14	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.927878	0.927878	1	1.88547	1.88547	0.195779	1	1646.896932	1647.923426	0.800416	0.800416	0
20	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1660.857807	1659.804396	101.428	1	1	12	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.930363	0.930363	1	21.8452	21.8452	0.415126	1	1660.801891	1661.825353	0.856917	0.856917	0.00970874
21	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1688.889537	1687.799064	373.885	1	1	19	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.987143	0.987143	1	5.50701	5.50701	0.217284	1	1688.795779	1690.821357	0.941872	0.941872	0
22	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	2	0.073501	207	1703.915913	1702.825439	148.731	1	1	16	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.950906	0.950906	1	0.860763	0.860763	1.14561	1	1703.823385	1705.842784	0.834368	0.834368	0
23	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1716.895739	1715.793466	222.295	1	1	19	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.986392	0.986392	1	27.6834	27.6834	0.109439	1	1716.790434	1718.816042	0.955556	0.955556	0
24	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1733.922008	1732.819736	187.613	1	1	19	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.9834	0.9834	1	98.9139	98.9139	0.202838	1	1733.814884	1735.840699	0.961674	0.961674	0
25	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	2	0.073501	207	1775.513490	1774.383332	125.679	1	1	12	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.879908	0.879908	1	1.06319	1.06319	0.127389	1	1775.379281	1776.403967	0.581453	0.581453	0
26	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1783.023696	1781.893538	108.403	1	1	13	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.911263	0.911263	1	17.3991	17.3991	0.0400226	1	1782.887520	1783.914247	0.804716	0.804716	0.0281197
