Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
25	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	4354.808335	4352.083514	246387	4	4	4	0.852043	0.852043	1	0.632873	0.632873	1.23227	4	1089.277710	1090.532349	0.376515	0.376515
26	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	4403.362039	4400.600678	156251	4	4	3	0.875209	0.875209	1	0.975622	0.975622	4.98645	4	1101.399902	1101.914917	0.338614	0.338614
27	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	4502.456974	4499.644859	502795	4	4	6	0.874587	0.874587	1	0.627064	0.627064	3.06941	4	1126.169922	1127.425903	0.409155	0.409155
28	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	7062.928623	7058.511201	718193	6	7	6	0.87572	0.865241	1	0.265591	0.280371	3.77654	7	1009.659668	1010.223572	0.368844	0.368844
29	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	8833.674153	8828.211060	699448	7	9	10	0.865016	0.703267	1	8.91834	8.40108	1.91432	8	1104.909790	1105.659180	0.436211	0.436211
30	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	42	65.023683	57	8951.818309	8946.280212	1.65944e+06	7	9	17	0.950511	0.915398	1	57.074	27.7478	2.25845	8	1119.421265	1120.286621	0.886144	0.886144
31	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	50	65.023683	57	9052.873753	9047.282092	1.00639e+06	6	7	9	0.920509	0.926946	1	16.95	14.4343	2.83272	7	1293.753662	1295.053467	0.753054	0.992532
32	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	9053.882655	9048.290995	2.8078e+06	6	10	27	0.909636	0.861165	1	19.9975	10.148	2.72854	7	1293.753662	1295.053467	0.708631	0.708631
33	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	25	65.023683	57	9066.912490	9061.320830	4.36256e+06	7	9	32	0.950464	0.96885	1	12.7893	47.3688	2.63077	8	1133.670776	1135.297607	0.838078	0.989186
34	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	9080.950948	9075.336093	3.28253e+06	7	10	29	0.919943	0.905331	1	10.8319	12.3954	2.53572	9	1009.380188	1010.598145	0.736254	0.736254
