FeatureIndex	FileName	MSLevel	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
430	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	4097.211730	4099.797233	2	70.7372	71.0333	17.7657	70.7372	24571.3	17417.2	218263	4	4	1	0.894572	0.884900700837371	24571.3	0;3624.33;4164.22;5322.7;6595.48;3453.85;690.417;0;720.291
431	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	7870.860639	7875.763693	3	70.7372	71.4834	44.7726	70.7763	34524.8	17286.3	542554	5	7	3	0.941303	0.994994657312649	6754.12;17547.2;10223.4	800.297;0;1663.66;3047.91;5659.79;6117.97;6326.28;4962.42;2043.4;3267.79;1124.01;311.571
432	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	6776.364423	6780.618774	3	70.7372	71.0333	17.7657	70.7372	44518.4	17234.9	246326	5	6	3	0.907459	0.981753173282649	33397.7;11120.7	0;1305.31;1681.69;7885.3;7052.04;7433.88;4666;5537.83;6095.34;936.168;578.114;0;0;1346.74
433	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8056.966131	8061.969408	2	70.7763	71.4834	42.4248	70.7763	21556	16255.8	457255	5	7	3	0.902756	0.907855928101923	5300.22;6404.32;9851.5	0;0;0;1884.45;2455.71;5049.92;3606.55;3154.74;2306.72;1695.54;537.587;643.247;0;221.568
434	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	7167.526991	7172.009144	2	70.7372	70.7763	2.34778	70.7763	31391.8	15902	36850.5	5	6	2	0.943447	0.95124342578478	5425.35;25966.4	0;1663;3407.09;2545.01;4609.93;4514.18;4666.16;3646.1;2684.11;1386.56;1678.23;591.398
435	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8828.258408	8833.721501	2	70.4797	70.6729	11.5913	70.6729	21266.3	15893.2	123252	6	7	2	0.955743	0.84307687157032	13502.7;7763.63	301.85;473.469;0;1919.8;3492.71;3358.55;4182.26;3845.58;1864.92;1144.29;317.46;667.307
436	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	6890.416033	6894.745211	2	70.7372	70.7763	2.34778	70.7372	27635.1	14821.8	32440.7	5	5	1	0.895217	0.993983359772206	27635.1	0;0;2136.76;2449.07;4484.28;4971.48;4055.07;4223.78;2466.05;2197.65;650.989
437	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8072.966264	8077.983266	3	70.4547	71.0333	34.7118	70.6729	29103.8	13652.8	374692	6	7	2	0.871026	0.569859381234707	13652.8;15451	0;0;0;2797.94;3323.31;4363.75;6815.17;4928.8;1425.45;1381.14;1253.46;0;820.94;1993.87
438	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	10785.570382	10792.291547	2	70.7121	71.4834	46.277	70.7121	20556.2	13338.7	475641	6	7	2	0.925622	0.91375615504147	7217.52;13338.7	0;0;0;0;1490.22;1976.89;3505.18;2667.09;3184.45;2937.52;2064.96;819.432;981.856;0;0;0;928.659
439	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	4002.186897	4004.718368	2	70.7372	71.0333	17.7657	71.0333	18955.2	13045.5	168376	4	4	1	0.932064	0.927028740588001	18955.2	0;2377.63;4545.52;3946.98;3137.56;2245.07;1546.01;1156.46
440	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	7611.746086	7616.494088	2	70.3902	70.4547	3.8741	70.4547	17181.7	12720.1	33281.8	6	7	2	0.894516	0.878994843884378	5045.92;12135.8	0;0;444.527;1558.95;2236.41;4176.82;3601.18;2009.86;1937.08;673.77;0;543.101
441	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	7393.667558	7398.274384	2	70.7372	70.7763	2.34778	70.7763	24339.8	12222.6	28572.3	5	6	2	0.962734	0.980196280574746	2310.77;22029	637.567;0;1312.94;3755.77;4459.42;4887.43;4188.44;2667.28;1285.83;1232.22;0;550.438
442	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8002.923676	8007.901026	2	70.3902	70.4547	3.8741	70.4547	22860.1	11961.3	44281.1	7	9	3	0.917135	0.789823872129313	11961.3;2934.12;7964.63	0;0;1521.33;1035.32;4526.65;3843.52;3784.76;3552.7;972.938;2462.06;1160.8
443	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	6701.351569	6705.566007	3	70.6085	71.0333	25.4869	70.7121	30413.8	11557	274911	4	6	3	0.95927	0.897467072534343	17935.7;1903.04;10575	0;0;2431.55;5560.61;6005.97;5356.62;3994.45;2954.37;1752.13;1070.24;582.559;705.296
444	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	3816.083664	3818.408018	2	70.7372	71.0333	17.7657	71.0333	17824.2	11522.5	158330	4	4	1	0.944243	0.869116170060405	17824.2	1518.52;2820.89;3588.91;4504.79;3337.26;1905.98;607.271;1059.1
445	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	5400.809119	5404.153574	4	70.6085	70.7763	10.069	70.6729	28909.4	11515.3	75047.4	4	5	2	0.907746	0.982238775168643	20883.8;8025.6	802.361;1030.34;3429.25;6388.98;6187.93;6805.38;3556.96;1510.53
446	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	6760.350373	6764.592915	2	70.7372	70.7763	2.34778	70.7372	21376.9	11181.1	25094.1	5	5	1	0.905925	0.960884586830321	21376.9	698.354;858.197;877.147;2750.83;4489.27;2621.47;3699.59;2905.33;964.713;1753.38;456.922
447	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8109.964981	8114.996139	2	70.6729	70.7372	3.85664	70.7372	20189	11122.6	38930.8	5	7	3	0.906012	0.656205049111493	694.545;8371.79;11122.6	0;0;704.741;1912.99;2708.34;3956.02;4378.1;2342.92;3302.81;0;0;0;0;883.049
448	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	5723.885558	5727.440696	2	70.7372	71.0333	17.7657	70.7372	18007.1	10719	159954	4	5	2	0.85665	0.512421524166719	2882.76;15124.3	0;0;3231.48;2774.56;2664.34;4791.92;1942.86;749.782;0;0;1852.13
449	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	7003.468712	7007.851306	2	70.7372	70.7763	2.34778	70.7763	16861.3	10305.4	19793.3	5	5	1	0.905491	0.88621614240148	16861.2	0;911.326;935.667;1907.49;2941.79;2689.46;2942.8;735.939;1992.06;0;0;1171.72;0;633.008
450	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8110.995583	8116.026742	2	70.7372	71.4834	44.7726	70.7372	16821.7	9799.22	376575	5	8	4	0.890319	0.846314733896074	7022.44;3710.61;9048.72;750.505	0;0;1194.52;389.612;3722.15;4124.32;2837.56;3748.38;805.107
451	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	6816.381923	6820.662323	3	70.6085	70.7763	10.069	70.7763	23758.6	9717.24	76961.7	4	5	2	0.869726	0.915005587909214	14041.4;9717.24	0;673.027;0;2991.08;4691.11;4203.81;4122.04;2532.85;3299.43;1245.28
452	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	7352.625039	7357.208675	2	70.6085	70.6729	3.8646	70.6085	17055.6	9599.3	32956.4	5	6	2	0.875307	0.611334284126944	15587.8;7456.25	0;0;611.025;1397.47;3156.96;2006.69;2912.49;2475.87;1953.49;461.37;893.594;1186.59
453	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	5057.671210	5060.822987	3	70.6085	70.7763	10.069	70.6729	17804.4	8975	69248.8	3	5	3	0.913469	0.887855802759698	5120.4;6697.91;5986.04	0;647.892;3067.7;3986.33;5016.02;2785.38;1301.14;999.903
454	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	2889.550087	2891.331908	5	70.4547	70.7763	19.2939	70.6729	27417.5	8170.66	94155.7	2	3	2	0.860158	0.994601815886619	13422.1;13995.4	0;6309.02;8584.45;8097.7;4175.93;250.387
455	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	7019.468173	7023.862387	3	70.7372	71.0333	17.7657	70.7372	20153.5	7867.55	111863	5	6	2	0.900853	0.950518260572402	14610.6;5542.86	0;0;1944.15;2125.68;3718.92;3638.59;3223.47;3830.24;0;625.46;0;0;0;1046.93
456	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	7740.808008	7745.645100	2	70.7372	70.7763	2.34778	70.7763	11793.4	7489.37	13844.2	6	7	2	0.87961	0.80721196735624	8086.23;3707.14	0;0;0;1010.23;2206.04;2053.32;1609.93;1353.22;675.09;1581.38;867.984;0;0;436.181
457	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	4592.460044	4595.331515	2	70.6085	70.6729	3.8646	70.6729	11514.5	6874.83	22249.5	3	3	1	0.884661	0.772810800015578	11514.5	0;0;3744.29;3360.03;2873.53;1294.18;242.509
458	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	11572.852001	11580.052303	2	70.6085	71.4834	52.4938	71.4834	12768.7	6670.02	335139	6	8	3	0.895821	0.665816069612644	605.342;6064.68;6098.67	0;0;0;0;873.921;1226.53;1844.05;1756.8;1110.45;2612.76;673.423;1027.95;0;1037.47;605.342
459	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	3567.255136	3569.441500	2	70.6729	70.7372	3.85664	70.7372	5967.54	5048.75	11507.3	3	3	1	0.863247	0.721879650083313	5967.54	0;1127.08;2010.94;2518.17;311.352
460	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	4704.538699	4707.486764	2	70.6085	70.6729	3.8646	70.6729	9303.27	4981.52	17976.7	3	3	1	0.885349	0.849433708315311	9303.27	0;534.384;1748.12;3343.28;1783;1894.49
461	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	4920.600349	4923.677662	2	70.6729	70.7121	2.3522	70.6729	7509.01	4815.38	8831.34	3	3	1	0.879374	0.961353296011665	7509.01	0;0;1648.99;2292.89;2138.13;1429.01
462	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	7068.491158	7072.920178	2	70.7372	70.7763	2.34778	70.7763	8896.43	4789.99	10443.4	5	5	1	0.867022	0.767076792767018	8896.43	0;0;0;1631.11;2678.89;2546.91;2039.52
463	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8031.812256	8036.803793	3	66.0824	66.918	50.1349	66.918	132937	67881.7	1.95213e+06	6	7	2	0.936176	0.999969891977095	94726.5;38210.6	0;1679.18;4554.89;10400;17045.2;23211.3;23925.3;18017.6;13325.7;8574.35;6513.08;4356.11;573.244;761.191
464	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8318.957216	8324.115659	2	66.5319	66.918	23.1635	66.918	71875.4	59978.8	832441	6	6	1	0.923982	0.997953678275684	71875.4	0;0;1649.9;5412.43;8264.63;11966.4;12618.5;11476.2;8325.71;6805.1;2773.65;1836.07;746.874
465	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8231.930656	8237.035654	2	66.0824	66.918	50.1349	66.918	31840.1	17300.8	798151	6	7	2	0.906952	0.931333260879125	17300.8;14539.3	0;0;0;2183.88;4554.97;6131.44;5808.69;3118.88;4501.52;2136.13;1914.92;1489.68
466	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8149.849113	8154.905689	2	66.0824	66.5319	26.9715	66.0824	23469.7	11906.6	316506	6	7	2	0.889234	0.801673014499559	12023.7;11446	1716.9;2420.01;932.158;2380.13;1885.75;3141.38;4182.73;3477.45;1638.57;601.484;1449.42;814.787;545.797
467	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	5650.689106	5654.194980	2	66.5319	66.918	23.1635	66.5319	11711.3	6524.54	135637	5	5	1	0.896596	0.770736582234181	11711.3	330.123;0;1518.02;3632.75;2170.38;1582.32;824.158;613.854;1369.84
468	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8827.250685	8832.713778	2	65.3269	65.3795	3.15503	65.3795	1.58903e+07	1.52198e+07	2.50673e+07	7	8	2	0.926627	0.999280966646217	1.52213e+07;669071	13491.9;90127.9;353275;891166;1.62867e+06;2.17861e+06;2.58104e+06;2.48024e+06;2.10858e+06;1.44328e+06;948113;537154;318734;200729;130603
469	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8528.121870	8533.415665	2	65.3269	65.3795	3.15503	65.3795	2.94013e+06	2.85334e+06	4.6381e+06	5	7	3	0.920694	0.999310742697481	2657.28;955194;1.98228e+06	0;19202.5;80431.6;176317;298276;454673;480096;481790;368496;240996;153921;80112.8;65212.5;25791.3;14810.7
470	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8974.321527	8979.873412	2	65.3269	65.3795	3.15503	65.3795	544144	521749	858396	6	8	3	0.922157	0.993533419650479	3022.36;518727;22394.8	1857.19;2803.9;8527.68;25192.7;54486.2;83022.2;73153.7;77707.8;73523.6;50868.8;37432.2;24018.7;17978.5;11393.2;4034.92
471	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8511.109791	8516.391687	2	65.3795	66.1716	47.5268	65.3795	515714	492932	1.22551e+07	6	8	3	0.979326	0.971332683226213	189564;303368;22782.4	8610.58;9806.21;27507;55379.9;70782.6;73311.5;83080.6;62653.7;57387.9;37027.3;23597.5;8898.16;3331.72;2949.79
472	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8047.815043	8052.818320	3	65.3269	66.1716	50.6818	65.3269	675513	472619	5.8625e+06	6	8	3	0.944844	0.999139142992194	299357;364639;11516.9	516.46;6265.53;21485.7;57037.1;96884.4;116590;109302;99384.5;71130.1;47961.1;23892.5;12636.3;6799.69;6143.47
473	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8318.974687	8324.133129	2	65.3269	66.1716	50.6818	66.1716	583434	333831	1.47847e+07	6	8	3	0.971848	0.981622141587888	8229.81;259968;315236	4609.19;12316.5;29614.4;49031;79788;95830.9;90153;72208.8;56070.8;39392;29378.5;15074.3;6945.8;4320.33;3309.46
474	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8333.972361	8339.130803	2	65.3795	66.1716	47.5268	65.3795	307348	268227	7.30362e+06	6	8	3	0.877927	0.944013178323197	232842;35385.3;39120.5	976.334;695.699;1731.81;11337.6;35961;55568;59008.8;61817.3;31903.4;25952.4;19631.1;1938.08;848.776;953.743
475	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8299.960006	8305.102416	2	65.3269	65.3795	3.15503	65.3795	277870	166397	438345	5	7	3	0.946459	0.998895739791346	2643.07;170182;105045	2735.95;4823.45;13870.3;24281.6;31241.5;39313.5;42374.1;40039.8;28777.5;24060.3;15009.4;9301.47;1135.98;3641.21
476	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8031.825874	8036.817411	3	65.3269	66.1716	50.6818	65.3269	269321	121400	4.13194e+06	6	8	3	0.968374	0.999261649486855	35471.4;190895;42954.9	0;5210.3;15352.2;25443.5;39794;45775.9;37693.2;35712.4;27137.9;17701.2;7582.64;8199.05;1707.34;2011.61
477	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8545.105314	8550.415520	3	65.3269	66.1716	50.6818	65.3269	239005	119688	3.1998e+06	6	8	3	0.957762	0.998210621124625	111326;119688;7990.82	2263.96;5193.75;6741.11;18485.6;31583.7;41950.2;41866.7;39359.9;24651;18192;5007.71;2879.03;3094.1
