Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	PrecursorScanNum	PrecursorFeatureIndex	PrecursorMz	PrecursorIntensity	PrecursorCharge	PrecursorSNR	PrecursorMonoisotopicMass	PrecursorQscore	PrecursorQscore2D	PrecursorQvalue	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue	
17	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8718.607216	8713.195845	161872	5	6	8	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.896888	0.621679	1	8.48042	5.38412	2.6323	5	1744.449829	1744.843384	0.532305	0.532305	0.218695
18	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8735.630718	8730.219348	1.92951e+06	5	7	28	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.970926	0.98433	1	235.42	266.316	1.52511	6	1456.215942	1458.212769	0.947361	0.947361	0.041132
19	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	2	65.037164	27	8736.632277	8731.220907	1.7926e+06	5	6	22	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.973745	0.97466	1	223.002	162.263	1.16146	6	1456.215942	1458.381348	0.953501	0.953501	0
20	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8774.676513	8769.239089	419114	6	6	13	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.906343	0.906343	1	39.4179	39.4179	2.05915	6	1462.551880	1464.718994	0.748400	0.748400	0.18203
21	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8775.674976	8770.237552	890386	6	7	27	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.890586	0.935179	1	98.6386	59.7311	1.83111	6	1462.879761	1464.881348	0.745473	0.745473	0.1825
22	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8798.719413	8793.268148	971214	6	6	14	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.902087	0.902087	1	37.4763	37.4763	1.16438	6	1466.550781	1468.721436	0.760488	0.760488	0.179536
23	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8814.715412	8809.264146	1.27953e+07	6	7	28	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.987539	0.988441	1	629.93	364.6	0.900912	6	1469.214355	1471.387817	0.972639	0.972639	0.00967742
24	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	2	65.037164	27	8815.716461	8810.265195	1.27926e+07	6	7	28	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.98529	0.98535	1	538.256	286.31	0.767706	7	1259.619995	1261.472900	0.971352	0.971352	0
25	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8832.731153	8827.268060	1.48625e+08	6	7	28	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.996942	0.996955	1	2713.38	1403.34	1.54003	6	1472.219849	1474.389282	0.980795	0.980795	0.00704225
26	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8962.873246	8957.335149	235564	6	7	10	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.926741	0.90985	1	35.2571	41.5475	2.31782	6	1494.393188	1495.237183	0.804396	0.804396	0.168369
