Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	PrecursorScanNum	PrecursorFeatureIndex	PrecursorMz	PrecursorIntensity	PrecursorCharge	PrecursorSNR	PrecursorMonoisotopicMass	PrecursorQscore	PrecursorQscore2D	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
19	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	884.932060	884.424359	2578.86	1	1	15	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.996906	0.996906	1	3.68838	3.68838	0.744275	1	885.424768	887.443266	0.944404	0.944404
20	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	901.009388	900.490301	1012.19	1	1	11	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.947759	0.947759	1	1.4615	1.4615	1.45068	1	901.491935	903.507687	0.824529	0.824529
21	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	906.925657	906.406570	566.556	1	1	10	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.981605	0.981605	1	1.54063	1.54063	0.187986	1	907.407174	908.422513	0.923948	0.923948
22	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	924.015327	923.484778	965.641	1	1	15	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.946465	0.946465	1	1.42229	1.42229	1.37185	1	924.485684	927.502848	0.822230	0.822230
23	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	937.979393	937.448843	2451.38	1	1	14	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.989405	0.989405	1	2.66093	2.66093	1.77902	1	938.451014	941.468346	0.919700	0.919700
24	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	969.061333	968.504116	6018.59	1	1	17	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.999957	0.999957	1	3.75063	3.75063	0.368122	1	969.506422	972.523828	0.951112	0.951112
25	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	995.038595	994.470039	3247.84	1	1	13	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.995391	0.995391	1	3.75445	3.75445	0.81747	1	995.470559	997.488456	0.942119	0.942119
26	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1000.096515	999.527960	2537.15	1	1	18	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.958661	0.958661	1	2.52558	2.52558	1.14428	1	1000.528702	1003.548940	0.869950	0.869950
27	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1024.151427	1023.559088	1760.85	1	1	14	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.900081	0.900081	1	1.6018	1.6018	1.66564	1	1024.561394	1027.577906	0.625935	0.625935
28	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1051.150235	1050.546786	565.655	2	2	17	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.989963	0.989963	1	0.270797	18.8766	0.294562	2	526.276856	527.286149	0.910055	0.910055
29	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1053.081207	1052.477758	503.314	1	1	10	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.986621	0.986621	1	2.60957	2.60957	0.0627457	1	1053.477043	1054.495460	0.936541	0.936541
30	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1068.187177	1067.572548	9768.81	1	1	17	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.999304	0.999304	1	3.54138	3.54138	0.884591	1	1068.574165	1071.591750	0.945379	0.945379
31	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1155.277570	1154.605096	6074.87	1	1	16	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.997528	0.997528	1	3.33367	3.33367	1.07802	1	1155.605983	1158.625716	0.941007	0.941007
32	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1168.301250	1167.614525	3484.18	1	1	16	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.98311	0.98311	1	4.02693	4.02693	0.654187	1	1168.613208	1171.636548	0.929017	0.929017
33	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1185.327402	1184.640677	1962.94	1	1	11	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.98975	0.98975	1	2.51889	2.51889	1.06406	1	1185.641946	1187.658347	0.928854	0.928854
34	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1207.322966	1206.622346	5263.33	1	1	19	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.997394	0.997394	1	2.99828	2.99828	0.864013	1	1207.620613	1211.646422	0.942177	0.942177
35	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1212.327528	1211.626907	18353.3	1	1	20	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.998825	0.998825	1	3.4345	3.4345	1.1309	1	1212.627228	1216.652958	0.942212	0.942212
36	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1396.607734	1395.713093	6252.73	1	1	14	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.986758	0.986758	1	3.27855	3.27855	0.721763	1	1396.710793	1399.736203	0.931232	0.931232
37	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1501.685545	1500.732940	2456.19	1	2	26	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.922354	0.945138	1	0.347457	3.36559	1.18103	2	751.368125	751.878801	0.709654	0.709654
38	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1521.731866	1520.766100	3988.53	1	1	16	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.894216	0.894216	1	0.527664	0.527663	0.476086	1	1521.763417	1525.790752	0.624676	0.624676
39	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1521.832673	1520.866906	3226.8	1	1	15	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.871252	0.871252	1	0.472901	0.472901	0.879674	1	1521.869010	1525.889697	0.486311	0.486311
40	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1567.795966	1566.782561	7439.44	1	1	19	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.88194	0.88194	1	0.59791	0.59791	0.751473	1	1567.782879	1572.815071	0.552064	0.552064
41	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1567.915100	1566.901695	6604.3	1	1	23	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.890969	0.890969	1	0.468815	0.468815	1.46546	1	1567.900659	1572.933419	0.562732	0.562732
42	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1603.800548	1602.773245	2808	2	2	15	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.987142	0.987142	1	2.41301	2.41301	0.542742	2	802.388003	803.402323	0.931131	0.931131
43	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1646.851511	1645.798100	5434.29	1	2	36	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.87633	0.667743	1	0.207415	0.967081	2.27824	2	823.900330	826.415848	0.356019	0.356019
44	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1698.939671	1697.849197	9111.75	1	1	20	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.884535	0.884535	1	1.17462	1.17462	0.463991	1	1698.850112	1703.876222	0.592492	0.592492
45	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1771.983681	1770.853523	6882.91	1	2	28	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.859187	0.730997	1	0.197978	1.68424	0.97658	2	886.428461	887.443266	0.349892	0.349892
46	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1790.015073	1788.873165	3389.16	2	2	18	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.926974	0.926974	1	0.0263888	5.42192	0.652932	2	895.437327	896.951618	0.721579	0.721579
47	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1807.046674	1805.904766	661.278	2	2	14	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.975656	0.975656	1	3.45643	3.45643	0.726377	2	903.952253	904.968254	0.915204	0.915204
48	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1868.122828	1866.941468	12806.9	1	1	21	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.921372	0.921372	1	0.861962	0.861962	0.971488	1	1867.941880	1873.968229	0.736404	0.736404
49	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1903.185096	1901.992051	1338.6	2	2	22	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.985926	0.985926	1	0.0806848	4.25599	1.05226	2	951.996368	954.509085	0.895550	0.895550
50	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1946.204030	1944.974519	9363.72	1	2	44	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.900881	0.859316	1	1.55574	3.42586	0.909022	2	973.488340	975.504761	0.637093	0.637093
51	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1948.551137	1947.321626	2906.52	1	1	15	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.920258	0.920258	1	0.344177	0.344177	1.00382	1	1948.322273	1952.346291	0.718438	0.718438
52	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	1965.555584	1964.314455	3476.74	1	1	18	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.857967	0.857967	1	0.293288	0.293288	0.852015	1	1965.309333	1971.346240	0.412469	0.412469
53	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	2001.425794	2000.170816	3152.1	1	1	15	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.88337	0.88337	1	0.383287	0.383287	1.47785	1	2001.166355	2006.196775	0.519683	0.519683
54	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	2020.003708	2018.735187	4330.28	1	1	15	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.891134	0.891134	1	0.460347	0.460347	0.378843	1	2019.733038	2023.764500	0.611575	0.611575
55	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	2029.278601	2028.010080	6048.75	1	1	21	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.873037	0.873037	1	0.513969	0.513969	1.38665	1	2029.010467	2035.038648	0.473769	0.473769
56	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	2117.372480	2116.053664	4971.87	2	2	20	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.989399	0.989399	1	0.178316	6.58718	1.12319	2	1059.029229	1061.046797	0.900584	0.900584
57	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	2320.575153	2319.122966	3753.57	1	2	32	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.90767	0.928205	1	5.5998	4.52218	0.889229	2	1160.564187	1163.081133	0.738148	0.738148
58	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	2509.709477	2508.154399	1020.3	2	2	12	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.987496	0.987496	1	1.24733	1.25619	0.161666	2	1255.079390	1256.593931	0.931035	0.931035
59	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	2657.871443	2656.230057	440.039	2	2	12	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.925115	0.925115	1	3.2026	3.2026	0.612259	2	1329.115222	1330.132797	0.790021	0.790021
60	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	2823.340315	2821.595500	1572.75	2	2	21	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.857427	0.857427	1	0.296817	0.296817	0.537243	2	1411.798286	1414.822392	0.423875	0.423875
61	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	2954.267065	2952.460319	3601.86	2	2	22	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.886909	0.886909	1	0.761529	0.761529	0.606142	2	1477.229049	1479.750199	0.588697	0.588697
62	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	3078.410324	3076.529097	4849.11	2	2	22	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.89557	0.89557	1	0.522106	0.522106	0.756405	2	1539.264461	1542.290832	0.619125	0.619125
63	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	3249.379537	3247.375174	8002.99	2	2	25	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.850198	0.850198	1	0.575675	0.575675	0.548027	2	1624.684241	1628.215395	0.395464	0.395464
